"Location","nation","Country","gender","field_research","Country_work","PhD_Year","what_participant_group","id","class","percent_applied_research_current","percent_applied_research_past","percent_fundamental_research_current","percent_fundamental_research_past","percent_use_inspired_research_current","percent_use_inspired_research_past","changed_10yrs","main_reason_change_interest_related","main_reason_change_career_related","main_reason_change_funding_related","main_reason_change_socially_related","main_reason_change_other","Main_reason_change_Other_text","view_change_of_type","partnership_outside_current","partnership_outside_before","partnership_change_10yrs","reason_partnership_change_interest","reason_partnership_change_career","reason_partnership_change_socially","reason_partnership_change_funding","reason_partnership_change_other","reason_partnership_change_other_text","view_change_partnership","external_pi_grant_11_15_applied","external_pi_grant_11_15_fundamental","external_pi_grant_11_15_use","external_pi_grant_6_10_applied","external_pi_grant_6_10_fundamental","external_pi_grant_6_10_use","successful_grants_11_15_fundamental","successful_grants_11_15_use","successful_grants_11_15_applied","successful_grants_6_10_fundamental","successful_grants_6_10_use","successful_grants_6_10_applied","practical_applications_important_11_15","practical_applications_important_6_10","include_nonacademia_partners_success_11_15","include_nonacademia_partners_success_6_10","distribution_funding_11_15_for_profit","distribution_funding_11_15_government","distribution_funding_11_15_internal","distribution_funding_11_15_nongov","distribution_funding_11_15_other","distribution_funding_6_10_for_profit","distribution_funding_6_10_government","distribution_funding_6_10_internal","distribution_funding_6_10_nongov","distribution_funding_6_10_other","distribution_funding_11_15_other_text","distribution_funding_6_10_other_text","success_change_10yrs_fundamental","success_change_10yrs_use","success_change_10yrs_applied","opinion_fundamental_important","high_priority_fundamental","high_priority_use_inspired","high_priority_applied","high_priority_no_change","available_funding_fundamental","available_funding_use_inspired","available_funding_applied","next_generation","high_priority_comments","next_generation_comments","final_comments","OCED_category"
"Australia","Australia","Australia","Male","Medicine and Life Science","Australia","1992","Senior academic researcher with >10 years of experience applying for research grants",2339,"developed","20","0","80","100","0","0","Yes",1,NA,1,NA,NA,"","Slightly positive","Some partnership","No partnership","Yes",1,1,NA,1,NA,"","Slightly positive","1-3","10-12","0","0","10-12","0","60","No need for applications for this research type","100","70","No need for applications for this research type","No need for applications for this research type","Somewhat important","Somewhat important","Not very important","Not very important","0","90","10","0","0","0","80","20","0","0","","","Decreased","Can't comment","Decreased","Not very important",NA,NA,1,NA,"Will decrease slightly","Can't comment","Will stay the same","Will decrease considerably","","","","High Income"
"Brazil","Australia","Brazil","Male","Natural Science","Australia","2013","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",2340,"developed","40",NA,"20",NA,"40",NA,"Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","1-3","0","0","1-3","0","100","","","50","","","Somewhat important","Somewhat important","Can't comment","Can't comment","0","90","10","0","0","0","80","20","0","0","","","Decreased","Stayed the same","Increased","Very important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease slightly","","","","High Income"
"Australia","Australia","Australia","Female","Medicine and Life Science","Australia","1998","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",2341,"developed","0","0","90","100","10","0","Yes",NA,NA,1,NA,NA,"","Slightly positive","Some partnership","No partnership","Yes",NA,NA,NA,1,NA,"","Slightly positive","0","0","1-3","0","1-3","1-3","No need for applications for this research type","20","","50","50","","Very important","Somewhat important","Quite important","Not very important","0","90","10","0","0","0","90","10","0","0","","","Decreased considerably","Decreased considerably","","Very important",NA,1,NA,NA,"Will decrease considerably","Will decrease considerably","","Will decrease considerably","","","","High Income"
"Australia","Australia","Australia","Female","Natural Science","Australia","I did not complete a PhD","Non-academic researcher conducting or managing research in industry or government with >10 years of experience",2342,"developed","0",NA,"100",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","1-3","0","0","1-3","0","80","","","100","","","Not at all important","Not at all important","Not at all important","Not at all important","0","100","0","0","0","0","100","0","0","0","","","Decreased","Stayed the same","Increased","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease considerably","","","","High Income"
"Australia","Australia","Australia","Male","Medicine and Life Science","Australia","1988","Senior academic researcher with >10 years of experience applying for research grants",2343,"developed","50","30","50","70","0","0","Yes",NA,NA,1,NA,NA,"","Slightly negative","No partnership","","No",NA,NA,NA,NA,NA,"","","0","0","0","0","4-6","0","70","","","0","","50","Very important","Very important","Somewhat important","Not very important","0","50","0","50","0","0","80","0","20","0","","","Decreased considerably","Stayed the same","Increased considerably","Very important",NA,1,1,NA,"Will decrease considerably","Will decrease slightly","Will stay the same","Will decrease considerably","","","","High Income"
"Australia","Australia","Australia","Male","Other","Australia","I did not complete a PhD","Senior academic researcher with >10 years of experience applying for research grants",2344,"developed","0",NA,"80",NA,"20",NA,"No",NA,NA,NA,NA,NA,"","","Some partnership","","No",NA,NA,NA,NA,NA,"","","0","7-9","4-6","0","7-9","4-6","40","30","No need for applications for this research type","40","30","No need for applications for this research type","Very important","Quite important","Somewhat important","Not very important","0","50","40","10","0","0","40","50","10","0","","","Decreased","Decreased","Can't comment","Not very important",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will increase considerably","Will decrease considerably","","","","High Income"
"Australia","Australia","Australia","Male","Physical Science (eg. math, physics, chemistry, computer science)","Australia","1991","Senior academic researcher with >10 years of experience applying for research grants",2345,"developed","0","0","70","100","30","0","Yes",1,NA,1,1,NA,"","Very negative","Some partnership","No partnership","Yes",1,1,1,NA,NA,"","Very positive","0","0","1-3","0","1-3","0","0","50","No need for applications for this research type","50","No need for applications for this research type","No need for applications for this research type","Very important","Not at all important","Somewhat important","Not at all important","0","90","0","10","0",NA,NA,NA,NA,NA,"","","Decreased considerably","Increased","Can't comment","Very important",NA,1,1,NA,"Will decrease slightly","","","Will decrease considerably","","Research is driven, at its base, by curiosity. Most scientists, especially young people, are curiosity driven. The ability to change direction in view of new results or developments is critical to research AND the commercialisation of research. The current system forces research into the more boring engineering-type studies which do not inspire innovation which are less interesting for students. More importantly, the availability for research positions is drastically diminished, there is no permanency associated with this kind of work. It would be foolhardy for any but the most committed and talented people to pursue research in Australia. Luckily, I feel that because of good and inspiring science education in primary school, there is a strong core of talented young people available in Australia, and they are highly committed despite the terrible work prospects.","","High Income"
"Australia","Australia","Australia","Male","Medicine and Life Science","Australia","2001","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",2346,"developed","0",NA,"100",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","16+","0","0","1-3","0","30","No need for applications for this research type","No need for applications for this research type","100","No need for applications for this research type","No need for applications for this research type","Somewhat important","Can't comment","Not very important","Can't comment","0","50","0","0","50","0","0","0","100","0","learned society","","Decreased","Can't comment","Can't comment","Can't comment",NA,1,NA,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Can't comment","","","","High Income"
"Australia","Australia","Australia","Male","Medicine and Life Science","Australia","1974","Senior academic researcher with >10 years of experience applying for research grants",2347,"developed","0",NA,"100",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","1-3","10-12","0","1-3","10-12","0","10","","0","20","","0","Somewhat important","Somewhat important","Not at all important","Not at all important","0","50","20","30","0","0","40","30","30","0","","","Decreased considerably","","","Not very important",NA,NA,1,NA,"Will decrease considerably","","","Will decrease considerably","","","","High Income"
"Australia","Australia","Australia","Male","Engineering","Australia","1975","Senior academic researcher with >10 years of experience applying for research grants",2348,"developed","0",NA,"50",NA,"50",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","Some partnership","Yes",1,NA,NA,1,1,"Conflict between industry and academic goals","Slightly positive","0","1-3","1-3","0","7-9","7-9","70","70","","20","20","","Mandatory","Mandatory","Not very important","Not very important","0","90","0","10","0","0","70","20","10","0","","","Decreased considerably","Decreased","Can't comment","Not very important",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will stay the same","Will decrease slightly","","","","High Income"
"Australia","Australia","Australia","Female","Medicine and Life Science","Australia","1994","Senior academic researcher with >10 years of experience applying for research grants",2349,"developed","50","30","10","40","40","30","Yes",NA,NA,1,NA,NA,"","Slightly negative","Strong partnership","Some partnership","Yes",NA,NA,NA,1,NA,"","Slightly negative","1-3","1-3","1-3","0","4-6","1-3","0","10","70","40","60","No need for applications for this research type","Very important","Somewhat important","Quite important","Not very important","70","0","20","10","0","10","70","0","20","0","","","Decreased considerably","Increased","Increased considerably","Not very important",NA,NA,1,NA,"Can't comment","Can't comment","Will increase slightly","Will decrease slightly","","","the Australian government has an avowed policy of supporting ""translational research"" that brings the benchtop to the bedside. my Honours and PhD vacancies are popular because I conduct clinically relevant research, more so now than I ever used to.","High Income"
"Australia","Australia","Australia","Male","Medicine and Life Science","Australia","2005","Senior academic researcher with >10 years of experience applying for research grants",2350,"developed","0","0","80","100","20","0","Yes",NA,NA,1,1,NA,"","Slightly negative","Some partnership","","No",NA,NA,NA,NA,NA,"","","0","7-9","1-3","0","1-3","0","50","50","","70","","","Very important","Somewhat important","Not very important","Not very important","0","90","10","0","0","20","80","0","0","0","","","Decreased","Increased","Can't comment","Somewhat important",NA,1,NA,NA,"Can't comment","Can't comment","Can't comment","Will decrease considerably","","","","High Income"
