"Country","Country_work","nation","gender","Location","what_participant_group","field_research","practical_applications_important_11_15","practical_applications_important_6_10","id"
"Poland","Poland","Poland","Female","Poland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Not at all important","Not at all important",2864
"Canada","India","Canada","Female","Ontario","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Medicine and Life Science","Mandatory","Quite important",2865
"Poland","Poland","Poland","Female","Poland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","Quite important","Quite important",2866
"","Cameroon","Cameroon","Male","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Very important","",2867
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Very important","Not at all important",2868
"Sudan","Sudan","Sudan","Male","Sudan","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Very important","Can't comment",2869
"Argentina","Argentina","Argentina","Female","Argentina","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Quite important","Quite important",2870
"Vietnam","Vietnam","Vietnam","Male","Vietnam","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science","Quite important","Somewhat important",2871
"Thailand","Thailand","Thailand","Male","Thailand","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Very important","Can't comment",2872
"Thailand","","Thailand","Female","Thailand","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Somewhat important","Not at all important",2873
"Uruguay","Uruguay","Uruguay","Female","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Quite important","Somewhat important",2874
"New Zealand","New Zealand","New Zealand","Female","New Zealand","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","Not at all important","Can't comment",2875
"New Zealand","New Zealand","New Zealand","Male","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Somewhat important","Not at all important",2876
"New Zealand","New Zealand","New Zealand","Male","New Zealand","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Very important","Very important",2877
"New Zealand","New Zealand","New Zealand","Female","New Zealand","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science","Very important","Very important",2878
"New Zealand","New Zealand","New Zealand","Female","New Zealand","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science","Can't comment","Can't comment",2879
"New Zealand","New Zealand","New Zealand","Female","New Zealand","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science","Somewhat important","Mandatory",2880
