"Location","Country","Country_work","gender","what_participant_group","field_research","total_research","type","percent"
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_past",30
"India","India","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_past",50
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_past",20
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_past",0
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_past",20
"Austria","Austria","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",120,"percent_Use_inspired_Research_past",8.33333333333333
"Switzerland","Switzerland","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Use_inspired_Research_past",10
"Netherlands","Netherlands","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",100,"percent_Use_inspired_Research_past",10
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_past",0
"Italy","Italy","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",100,"percent_Use_inspired_Research_past",0
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_past",10
"Cyprus","Cyprus","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_past",10
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","",180,"percent_Use_inspired_Research_past",33.3333333333333
"Italy","Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Use_inspired_Research_past",0
"Italy","Italy","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",100,"percent_Use_inspired_Research_past",50
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_past",40
"Germany","Germany","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_past",30
"Belgium","Belgium","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Use_inspired_Research_past",0
"Romania","Romania","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Use_inspired_Research_past",0
"Italy","Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Use_inspired_Research_past",0
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","",50,"percent_Use_inspired_Research_past",0
